Connection,192.168.1.6,B0:B9:8A:5E:DF:F1,12/27/2020,00:57:58
Connection,192.168.1.6,B0:B9:8A:5E:DF:F1,12/27/2020,00:49:32
Connection,192.168.1.8,48:BA:4E:A5:90:E4,12/27/2020,00:48:29
Connection,192.168.1.6,B0:B9:8A:5E:DF:F1,12/27/2020,00:32:40
Connection,192.168.1.6,B0:B9:8A:5E:DF:F1,12/26/2020,23:58:55
Connection,192.168.1.10,F8:36:9B:83:36:A2,12/26/2020,23:00:31
Connection,192.168.1.10,F8:36:9B:83:36:A2,12/26/2020,23:00:31
Connection,192.168.1.10,F8:36:9B:83:36:A2,12/26/2020,23:00:29
Connection,192.168.1.10,F8:36:9B:83:36:A2,12/26/2020,23:00:19
Connection,192.168.1.6,B0:B9:8A:5E:DF:F1,12/26/2020,22:51:25
Connection,192.168.1.24,A6:DC:5B:42:7A:9D,12/26/2020,22:43:58
Connection,192.168.1.23,56:B1:2E:72:AB:79,12/26/2020,20:38:07
Connection,192.168.1.6,B0:B9:8A:5E:DF:F1,12/26/2020,20:36:25
Connection,192.168.1.15,C0:D2:F3:7E:03:F0,12/26/2020,20:36:25
Connection,192.168.1.15,C0:D2:F3:7E:03:F0,12/26/2020,20:36:23
Connection,192.168.1.34,28:CD:C4:E0:7D:33,12/26/2020,20:14:50
Connection,192.168.1.4,F0:81:73:DA:3F:2F,12/26/2020,19:37:13
Connection,192.168.1.33,CC:46:4E:CB:54:8C,12/26/2020,18:41:40
Connection,192.168.1.6,B0:B9:8A:5E:DF:F1,12/26/2020,16:06:24
Connection,192.168.1.16,0C:96:E6:02:D1:1F,12/26/2020,15:51:37
Connection,192.168.1.34,28:CD:C4:E0:7D:33,12/26/2020,15:33:51
Connection,192.168.1.3,F8:36:9B:81:2E:F3,12/26/2020,14:57:20
Connection,192.168.1.29,A6:E5:CA:F8:7A:DE,12/26/2020,13:23:42
Connection,192.168.1.5,A8:10:87:4F:0B:56,12/26/2020,13:21:13
Connection,192.168.1.10,F8:36:9B:83:36:A2,12/26/2020,13:17:22
Connection,192.168.1.24,A6:DC:5B:42:7A:9D,12/26/2020,13:11:44
Connection,192.168.1.25,E6:BA:77:29:11:D9,12/26/2020,13:10:49
Connection,192.168.1.22,22:4C:A9:A5:88:6A,12/26/2020,13:10:46
Connection,192.168.1.26,1A:B9:BB:0F:2D:1A,12/26/2020,13:06:58
