[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 12:44:47     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 12:41:59     
[DoS attack: RST Scan] from source: 68.67.161.182:443, Saturday, November 28,2020 12:36:51     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 12:36:21     
[DHCP IP: (192.168.1.16)] to MAC address 0C:96:E6:02:D1:1F, Saturday, November 28,2020 12:36:11     
[Time synchronized with NTP server time-b.netgear.com] Saturday, November 28,2020 12:30:33     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 12:25:05     
[DoS attack: RST Scan] from source: 23.39.37.187:443, Saturday, November 28,2020 12:14:38     
[DoS attack: RST Scan] from source: 3.12.187.198:443, Saturday, November 28,2020 12:14:17     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 12:02:35     
[DoS attack: RST Scan] from source: 104.91.200.163:443, Saturday, November 28,2020 11:27:50     
[DoS attack: TCP Port Scan] from source: 93.174.91.187:51368, Saturday, November 28,2020 11:22:58     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 11:17:35     
[DoS attack: RST Scan] from source: 172.106.22.4:443, Saturday, November 28,2020 10:21:45     
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Saturday, November 28,2020 10:21:35     
[DHCP IP: (192.168.1.29)] to MAC address A6:E5:CA:F8:7A:DE, Saturday, November 28,2020 10:10:57     
[DHCP IP: (192.168.1.25)] to MAC address E6:BA:77:29:11:D9, Saturday, November 28,2020 10:00:56     
[DHCP IP: (192.168.1.26)] to MAC address 1A:B9:BB:0F:2D:1A, Saturday, November 28,2020 09:56:30     
[DHCP IP: (192.168.1.24)] to MAC address A6:DC:5B:42:7A:9D, Saturday, November 28,2020 09:53:59     
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Saturday, November 28,2020 09:51:07     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 09:47:35     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 09:46:32     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 09:45:28     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 09:43:22     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 09:39:09     
[DHCP IP: (192.168.1.24)] to MAC address A6:DC:5B:42:7A:9D, Saturday, November 28,2020 09:35:25     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 09:30:42     
[DHCP IP: (192.168.1.23)] to MAC address 56:B1:2E:72:AB:79, Saturday, November 28,2020 09:26:21     
[DHCP IP: (192.168.1.8)] to MAC address 48:BA:4E:A5:90:E4, Saturday, November 28,2020 09:13:50     
